DNA Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.0345
6,256,640320,662820,0.08299999999999999
6,256,1280640,1325640,0.37975
6,256,2561280,2651280,2.00575
6,256,5122560,5302560,7.752
6,256,10245120,10605120,24.197

Enzyme Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.02125
5,256,320160,388432,0.099
4,256,320160,614496,0.38975000000000004
3,256,320160,1852834,2.0482500000000003
2,256,320160,5228202,6.4875
1,256,320160,22205025,20.133

Splice Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.020999999999999998
6,512,320160,342930,0.02175
6,1024,320160,365970,0.02325
6,2048,320160,412050,0.021750000000000002
6,4096,320160,504210,0.0225
6,8192,320160,688530,0.02425
6,16384,320160,1057170,0.027750000000000004
6,32768,320160,1794450,0.036500000000000005
6,65536,320160,3269010,0.05474999999999999
6,131072,320160,6218130,0.0915
6,262144,320160,12116370,0.155
6,524288,320160,23912850,0.26125
6,1048576,320160,47505810,0.47975
6,2097152,320160,94691730,1.0485
6,4194304,320160,189063570,2.30675
