DNA Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.0085
6,256,640320,662820,0.016
6,256,1280640,1325640,0.035250000000000004
6,256,2561280,2651280,0.08675
6,256,5122560,5302560,0.17475000000000002
6,256,10245120,10605120,0.30025
6,256,20490240,21210240,0.5365
6,256,40980480,42420480,1.0510000000000002
6,256,81960960,84840960,2.084
6,256,163921920,169681920,3.9734999999999996

Enzyme Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.00625
5,256,320160,388432,0.006500000000000001
4,256,320160,614496,0.0085
3,256,320160,1852834,0.01675
2,256,320160,5228202,0.06725
1,256,320160,22205025,0.21275

Splice Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.00625
6,512,320160,342930,0.0080
6,1024,320160,365970,0.00625
6,2048,320160,412050,0.006500000000000001
6,4096,320160,504210,0.0080
6,8192,320160,688530,0.00825
6,16384,320160,1057170,0.012499999999999999
6,32768,320160,1794450,0.0205
6,65536,320160,3269010,0.036000000000000004
6,131072,320160,6218130,0.07725000000000001
6,262144,320160,12116370,0.13074999999999998
6,524288,320160,23912850,0.21949999999999997
6,1048576,320160,47505810,0.43574999999999997
6,2097152,320160,94691730,0.76775
6,4194304,320160,189063570,1.5345
6,8388608,320160,377807250,3.4617500000000003
