DNA Length Experiment,,,,
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.04125
6,256,640320,662820,0.1675
6,256,1280640,1325640,0.83025
6,256,2561280,2651280,5.222
6,256,5122560,5302560,22.04625
6,256,10245120,10605120,45.7295
,,,,
Enzyme Length Experiment,,,,
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.03625
5,256,320160,388432,0.21075
4,256,320160,614496,1.4565
3,256,320160,1852834,24.1235
,,,,
Splice Length Experiment,,,,
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.03675
6,512,320160,342930,0.04
6,1024,320160,365970,0.04175
6,2048,320160,412050,0.04625
6,4096,320160,504210,0.05575
6,8192,320160,688530,0.077
6,16384,320160,1057170,0.132
6,32768,320160,1794450,0.25475
6,65536,320160,3269010,0.519
6,131072,320160,6218130,1.27275
6,262144,320160,12116370,2.69575
6,524288,320160,23912850,4.07675
6,1048576,320160,47505810,7.33125
6,2097152,320160,94691730,14.47725
6,4194304,320160,189063570,19.963
