DNA Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.0345
6,256,640320,662820,0.08474999999999999
6,256,1280640,1325640,0.3625
6,256,2561280,2651280,1.82325
6,256,5122560,5302560,9.447

Enzyme Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.02275
5,256,320160,388432,0.09875
4,256,320160,614496,0.39975000000000005
3,256,320160,1852834,2.1155
2,256,320160,5228202,6.71325

Splice Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.0235
6,512,320160,342930,0.0225
6,1024,320160,365970,0.0235
6,2048,320160,412050,0.0225
6,4096,320160,504210,0.02425
6,8192,320160,688530,0.026250000000000002
6,16384,320160,1057170,0.028750000000000005
6,32768,320160,1794450,0.037500000000000006
6,65536,320160,3269010,0.06625
6,131072,320160,6218130,0.096
6,262144,320160,12116370,0.19025
