DNA Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.0295
6,256,640320,662820,0.087
6,256,1280640,1325640,0.4235
6,256,2561280,2651280,2.25775
6,256,5122560,5302560,7.818250000000001
6,256,10245120,10605120,23.686

Enzyme Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.021249999999999998
5,256,320160,388432,0.0985
4,256,320160,614496,0.38975
3,256,320160,1852834,2.0484999999999998
2,256,320160,5228202,6.4879999999999995
1,256,320160,22205025,20.146

Splice Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.021249999999999998
6,512,320160,342930,0.02125
6,1024,320160,365970,0.0235
6,2048,320160,412050,0.022
6,4096,320160,504210,0.022
6,8192,320160,688530,0.02525
6,16384,320160,1057170,0.0265
6,32768,320160,1794450,0.036750000000000005
6,65536,320160,3269010,0.05399999999999999
6,131072,320160,6218130,0.0905
6,262144,320160,12116370,0.1545
6,524288,320160,23912850,0.264
6,1048576,320160,47505810,0.48300000000000004
6,2097152,320160,94691730,1.0427499999999998
6,4194304,320160,189063570,2.3075
